author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
COLDY,developer,https://www.cian.ru/sale/flat/303330185/,Москва,sale,flat,4,15,1,48.2,-1,0,41471280.0,Даниловский, Серпуховский Вал,7с5,Тульская,Дом 7 Даниловский
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306522823/,Москва,sale,flat,2,18,1,54.3,-1,0,31000000.0,Измайлово,Измайловский проезд,10к3,Измайловская,Виноградный
Стадион Спартак,developer,https://www.cian.ru/sale/flat/276650515/,Москва,sale,flat,2,22,1,51.1,-1,0,30092790.0,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302397974/,Москва,sale,flat,3,26,1,39.08,-1,0,31000000.0,Пресненский, Пресненский Вал,27С1,Белорусская,Republic
Forma,developer,https://www.cian.ru/sale/flat/306957861/,Москва,sale,flat,22,29,1,41.8,-1,0,22977460.0,Аэропорт,Часовая ,28к8,Сокол,SOUL
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/303401192/,Москва,sale,flat,2,18,1,47.6,-1,0,33000000.0,Раменки, Янковского,1к3,Аминьевская,Событие
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040449/,Москва,sale,flat,6,27,1,61.3,-1,0,46036300.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Монблан
Sminex,developer,https://www.cian.ru/sale/flat/304094660/,Москва,sale,flat,2,14,1,60.3,-1,0,77240000.0,Пресненский,Электрический переулок,1с22,Белорусская,Элитный квартал Тишинский бульвар
COLDY,developer,https://www.cian.ru/sale/flat/303330145/,Москва,sale,flat,5,15,1,39.8,-1,0,35099620.0,Даниловский, Серпуховский Вал,7с16,Тульская,Дом 7 Даниловский
Стадион Спартак,developer,https://www.cian.ru/sale/flat/300486372/,Москва,sale,flat,11,19,1,49.2,-1,0,30312120.0,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
TOUCH,developer,https://www.cian.ru/sale/flat/305603261/,Москва,sale,flat,5,27,1,46.66,-1,0,32801000.0,Крылатское,Крылатская ,23,Молодёжная,Дом Горизонтов
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040453/,Москва,sale,flat,8,27,1,61.8,-1,0,48574800.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Монблан
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307196742/,Москва,sale,flat,17,20,1,38.2,-1,0,16697220.0,Головинский,Михалковская ,48к1,Коптево,Михалковский
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/284489277/,Москва,sale,flat,1,3,1,20.9,-1,0,6895000.0,Басманный,Большая Почтовая ,38С6,Электрозаводская,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040600/,Москва,sale,flat,5,12,1,57.1,-1,0,42368200.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Монблан
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/291960828/,Москва,sale,flat,1,7,1,24.5,-1,0,6900000.0,Южнопортовый,6-я Кожуховская ,24,Кожуховская,
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/280729658/,Москва,sale,flat,6,9,1,42.5,-1,0,6500000.0,, Луговая,,Крёкшино,Эдельвейс
Среда,developer,https://www.cian.ru/sale/flat/306809691/,Москва,sale,flat,14,44,1,36.84,-1,0,16179575.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308205894/,Москва,sale,flat,2,23,1,55.0,-1,0,15500000.0,Перово,шоссе Энтузиастов,86Ак1,Новогиреево,PerovSky
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/308878365/,Москва,sale,flat,3,14,1,37.0,-1,0,12325000.0,Северное Медведково,Широкая ,15К1,Медведково,
MR Group,developer,https://www.cian.ru/sale/flat/303148974/,Москва,sale,flat,3,36,1,37.13,-1,0,24254244.0,Савеловский,,,Дмитровская,Симфония 34 ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307949235/,Москва,sale,flat,7,13,1,32.1,-1,0,8300000.0,, Яворки,1к2,Кедровая,Кленовые Аллеи
Денис Циликин,realtor,https://www.cian.ru/sale/flat/309288929/,Москва,sale,flat,8,17,1,39.0,-1,0,19499999.0,Пресненский, 1905 года,21,Улица 1905 года,
Regions Development,developer,https://www.cian.ru/sale/flat/308071310/,Москва,sale,flat,11,17,1,41.25,-1,0,21488482.0,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
Никита Будылин,realtor,https://www.cian.ru/sale/flat/309162703/,Москва,sale,flat,16,24,1,36.6,-1,0,9500000.0,Митино,Муравская ,44к2,Пятницкое шоссе,Митинский лес
Sminex,developer,https://www.cian.ru/sale/flat/308620531/,Москва,sale,flat,26,28,1,44.38,-1,0,29580000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303927158/,Москва,sale,flat,16,22,1,38.6,-1,0,9500000.0,Солнцево,Волынская ,3,Солнцево,
МИЭЛЬ - Офис в Железнодорожном,real_estate_agent,https://www.cian.ru/sale/flat/308282217/,Москва,sale,flat,1,12,1,30.4,-1,0,8900000.0,Алтуфьевский,Алтуфьевское шоссе,62Б,Бибирево,
LEGENDA Intelligent Development,developer,https://www.cian.ru/sale/flat/302124535/,Москва,sale,flat,10,34,1,47.9,-1,0,20232960.0,Левобережный,Ленинградское шоссе,,Беломорская,Северный порт. Береговые кварталы
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309000126/,Москва,sale,flat,7,9,1,34.0,-1,0,13650000.0,Черемушки, Цюрупы,24К2,Новые Черёмушки,
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/306459002/,Москва,sale,flat,3,5,1,31.7,-1,0,11000000.0,Савеловский,4-й Вятский переулок,24К2,Дмитровская,
LEGENDA Intelligent Development,developer,https://www.cian.ru/sale/flat/301551757/,Москва,sale,flat,36,57,1,45.7,-1,0,20775220.0,Левобережный,Ленинградское шоссе,,Беломорская,Северный порт. Береговые кварталы
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307949196/,Москва,sale,flat,15,22,1,30.0,-1,0,16000000.0,Аэропорт,Часовая ,19к3,Сокол,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/309244324/,Москва,sale,flat,17,17,1,38.0,-1,0,8200000.0,Крюково,Зеленоград,к1560,Зеленоград — Крюково,
MR Group,developer,https://www.cian.ru/sale/flat/306474585/,Москва,sale,flat,40,54,1,54.96,-1,0,28804866.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
Эльмира Эмирова,realtor,https://www.cian.ru/sale/flat/305869716/,Москва,sale,flat,14,29,1,42.3,-1,0,21000000.0,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/296956787/,Москва,sale,flat,2,2,1,15.1,-1,0,8300000.0,Басманный,Гороховский переулок,6/1С2,Курская,
1-й ДСК,developer,https://www.cian.ru/sale/flat/308812778/,Москва,sale,flat,7,24,1,34.3,-1,0,12999700.0,,,1,Саларьево,1-й Саларьевский ЖК
ТАНДЕМ,real_estate_agent,https://www.cian.ru/sale/flat/294252401/,Москва,sale,flat,6,9,1,32.7,-1,0,8800000.0,Лосиноостровский,Анадырский проезд,49,Медведково,
Донстрой,developer,https://www.cian.ru/sale/flat/308968795/,Москва,sale,flat,15,21,1,45.5,-1,0,31158400.0,Хорошево-Мневники, Нижние Мневники,,Мнёвники,Остров
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308854771/,Москва,sale,flat,25,26,1,35.2,-1,0,12800000.0,Западное Дегунино,Дмитровское шоссе,73Б,Верхние Лихоборы,Тринити
ОЛ ИНКЛЮЗИВ,real_estate_agent,https://www.cian.ru/sale/flat/308398744/,Москва,sale,flat,7,26,1,31.1,-1,0,21700000.0,Нагатино-Садовники,Нагатинская набережная,10А,Нагатинская,Level Нагатинская
Апрелевка С2,developer,https://www.cian.ru/sale/flat/298379463/,Москва,sale,flat,3,3,1,35.6,-1,0,6443600.0,ТАО (Троицкий), Генерала Донскова,27к4,,Борисоглебское
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/280800172/,Москва,sale,flat,6,7,1,43.14,-1,0,6500000.0,, Луговая,,Крёкшино,Эдельвейс
Самолет,developer,https://www.cian.ru/sale/flat/309185829/,Москва,sale,flat,4,14,1,34.64,-1,0,6501391.0,,,к20,Щербинка,Остафьево ЖК
Апрелевка С2,developer,https://www.cian.ru/sale/flat/293999214/,Москва,sale,flat,2,3,1,35.8,-1,0,6515600.0,, Генерала Донскова,25к8,Апрелевка,Борисоглебское
ВЭЛЛБИ,developer,https://www.cian.ru/sale/flat/306775083/,Москва,sale,flat,2,7,1,32.9,-1,0,6550390.0,Крюково,Зеленоград,,Нахабино,Комплекс апартаментов 
Апрелевка С2,developer,https://www.cian.ru/sale/flat/301203142/,Москва,sale,flat,2,3,1,35.6,-1,0,6550400.0,ТАО (Троицкий), Генерала Донскова,27к5,,Борисоглебское
Самолет,developer,https://www.cian.ru/sale/flat/309188236/,Москва,sale,flat,12,14,1,32.87,-1,0,6647004.0,,,10,Рассказовка,Квартал Западный ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309194971/,Москва,sale,flat,12,23,1,32.11,-1,0,6713382.0,,,13,Летово,Эко Бунино ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309187979/,Москва,sale,flat,12,17,1,36.71,-1,0,6681423.0,,,к4,Филатов Луг,Квартал Марьино ЖК
А101,developer,https://www.cian.ru/sale/flat/306745457/,Москва,sale,flat,4,9,1,32.5,-1,0,6744144.0,,,2,Толстопальцево,Родные кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309197667/,Москва,sale,flat,1,9,1,36.23,-1,0,6747548.0,,,к4,Силикатная,Подольские Кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309197753/,Москва,sale,flat,6,9,1,34.98,-1,0,6721057.0,,,к3,Силикатная,Подольские Кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309197755/,Москва,sale,flat,9,9,1,35.64,-1,0,6681752.0,,,к3,Силикатная,Подольские Кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309190782/,Москва,sale,flat,22,30,1,23.72,-1,0,6718518.0,Бирюлево Восточное,,к2,Орехово,Квартал Герцена ЖК
Апрелевка С2,developer,https://www.cian.ru/sale/flat/297846869/,Москва,sale,flat,2,3,1,36.5,-1,0,6679500.0,ТАО (Троицкий), Генерала Донскова,27к5,,Борисоглебское
,,https://www.cian.ru/sale/flat/304973991/,Москва,sale,flat,4,9,1,42.5,-1,0,6757500.0,,,93,Крёкшино,Эдельвейс
,,https://www.cian.ru/sale/flat/298336852/,Москва,sale,flat,3,9,1,42.8,-1,0,6762400.0,,,к5Б,Крёкшино,Эдельвейс ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309195271/,Москва,sale,flat,16,17,1,36.34,-1,0,6750465.0,,,к12,Филатов Луг,Цветочные Поляны ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309195265/,Москва,sale,flat,15,17,1,33.77,-1,0,6787533.0,,,к12,Филатов Луг,Цветочные Поляны ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309195268/,Москва,sale,flat,17,17,1,33.46,-1,0,6785621.0,,,к12,Филатов Луг,Цветочные Поляны ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309195403/,Москва,sale,flat,11,16,1,32.7,-1,0,6791071.0,,,к2,Филатов Луг,Цветочные Поляны
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/298111008/,Москва,sale,flat,1,2,1,12.5,-1,0,6875000.0,Басманный,Гороховский переулок,6/1С2,Курская,
,,https://www.cian.ru/sale/flat/304973990/,Москва,sale,flat,4,9,1,42.8,-1,0,6800000.0,,,94,Крёкшино,Эдельвейс
