location,residential_complex,district,rooms_count,total_meters,floor,floors_count,underground,price,price_for_m
Москва,Борисоглебское,Фрунзенская,1,39.6,1,3,Апрелевка,6930000,174999
Москва,Цветочные Поляны ЖК,Фрунзенская,1,35.43,12,17,Филатов Луг,6971455,196767
Москва,Не указано,Фрунзенская,1,30.5,14,17,Ватутинки,7000000,229508
Москва,Квартал Марьино ЖК,Фрунзенская,1,35.83,16,17,Филатов Луг,7021139,195956
Москва,Эко Бунино ЖК,Фрунзенская,1,31.03,2,10,Летово,7060339,227532
Москва,Эдельвейс ЖК,Фрунзенская,1,44.6,3,9,Крёкшино,7046800,157999
Москва,Остафьево ЖК,Фрунзенская,1,38.37,12,14,Щербинка,7084014,184623
Москва,Молжаниново ЖК,Молжаниновский,1,34.62,2,16,Новоподрезково,7077774,204441
Москва,Комплекс апартаментов ,Крюково,1,36.6,2,7,Нахабино,7085760,193599
Москва,Борисоглебское,Фрунзенская,1,39.2,1,3,Апрелевка,7016800,178999
Москва,Подольские Кварталы ЖК,Фрунзенская,1,38.27,4,9,Силикатная,7094952,185392
Москва,Подольские Кварталы ЖК,Фрунзенская,1,33.73,7,12,Силикатная,7045725,208886
Москва,Подольские Кварталы ЖК,Фрунзенская,1,34.74,6,9,Силикатная,7069693,203502
Москва,Остафьево ЖК,Фрунзенская,1,35.81,6,14,Щербинка,7145456,199538
Москва,Комплекс апартаментов ,Крюково,1,36.2,3,7,Нахабино,7127780,196899
Москва,Подольские Кварталы ЖК,Фрунзенская,1,40.79,1,9,Силикатная,7118141,174507
Москва,Квартал Западный ЖК,Фрунзенская,1,34.88,1,14,Рассказовка,7103451,203653
Москва,Никольские Луга ЖК,Южное Бутово,1,32.3,2,11,Щербинка,7140270,221060
Москва,Новое Внуково ЖК,Фрунзенская,1,38.79,10,10,Рассказовка,7233094,186468
Москва,Эдельвейс ЖК,Фрунзенская,1,43.14,2,7,Рассказовка,7204380,166999
Москва,Никольские Луга ЖК,Южное Бутово,1,31.0,5,11,Щербинка,7233446,233336
