location,residential_complex,district,rooms_count,total_meters,floor,floors_count,underground,price,price_for_m
Москва,Домашний,Марьино,1,31.3,14,32,Курьяново,9300000,297124
Москва,Afi Tower,Свиблово,1,47.5,48,53,Ботанический сад,21549040,453664
Москва,Кронштадтский 9,Головинский,1,36.5,15,21,Водный стадион,17500000,479452
Москва,Метрополия,Южнопортовый,1,41.0,11,30,Угрешская,23000000,560975
Москва,VERY,Марфино,1,37.1,3,5,Владыкино,17140200,461999
Москва,ЗИЛАРТ,Даниловский,1,41.1,4,13,ЗИЛ,19950000,485401
Москва,Не указано,Чертаново Центральное,1,37.7,1,16,Пражская,9450000,250663
Москва,Shagal,Даниловский,1,53.0,4,12,Технопарк,22679746,427919
Москва,Eniteo,Котловка,1,41.0,23,42,Крымская,25000000,609756
Москва,1-й Саларьевский ЖК,Фрунзенская,1,29.3,2,14,Саларьево,10548000,359999
Москва,Символ,Лефортово,1,41.4,8,14,Площадь Ильича,19900000,480676
Москва,Не указано,Строгино,1,36.7,12,16,Строгино,12400000,337874
Москва,Н'айс Лофт ЖК,Нижегородский,1,30.09,5,21,Калитники,9051950,300829
Москва,Символ,Лефортово,1,41.4,11,27,Серп и Молот,16490000,398309
Москва,Парк Легенд,Даниловский,1,35.7,6,26,ЗИЛ,16990000,475910
Москва,Sokolniki,Сокольники,1,32.6,2,24,Сокольники,16906360,518599
Москва,Зорге 9,Хорошевский,1,58.0,3,21,Зорге,37000000,637931
Москва,Не указано,Южное Бутово,1,38.8,13,17,Щербинка,7600000,195876
Москва,Hide,Раменки,1,38.7,3,41,Кутузовская,23196759,599399
Москва,TopHills,Нагорный,1,47.1,9,27,Нагорная,21999000,467070
Москва,Не указано,Басманный,1,18.9,3,3,Электрозаводская,5570000,294708
Москва,City Bay,Покровское-Стрешнево,1,40.1,2,27,Трикотажная,13488048,336360
Москва,Bogenhouse,Замоскворечье,1,46.3,3,5,Новокузнецкая,41670000,900000
Москва,Level Бауманская,Басманный,1,35.5,12,21,Электрозаводская,17000000,478873
Москва,ARTEL,Преображенское,1,34.4,10,12,Преображенская площадь,19372498,563154
Москва,FORST,Даниловский,1,76.13,4,20,Тульская,32164925,422500
Москва,Мосфильмовская,Раменки,1,37.5,9,29,Ломоносовский проспект,16500000,440000
Москва,Мангазея на Речном,Левобережный,1,39.5,4,12,Беломорская,18884950,478100
Москва,Комплекс апартаментов B’aires,Щукино,1,30.6,15,22,Стрешнево,13600000,444444
Москва,Эталон-Сити,Южное Бутово,1,10.7,3,31,Улица Скобелевская,3200000,299065
Москва,AFI Park ,Обручевский,1,45.8,16,25,Воронцовская,25356785,553641
Москва,Рассказово,Фрунзенская,1,30.0,18,22,Рассказовка,11700000,390000
Москва,Ново-Никольское,Фрунзенская,1,46.1,9,11,Крёкшино,8800000,190889
Москва,Rotterdam,Нагатино-Садовники,1,34.6,22,29,Нагатинская,19958664,576839
Москва,Не указано,Тверской,1,36.2,8,17,Маяковская,27000000,745856
Москва,Ново-Никольское,Фрунзенская,1,46.8,1,11,Крёкшино,5900000,126068
Москва,1-й Ясеневский ЖК,Фрунзенская,1,32.5,2,18,Тёплый Стан,10036000,308800
Москва,Береговой,Филевский парк,1,57.9,4,29,Фили,33900000,585492
Москва,Не указано,Кунцево,1,40.0,13,22,Молодёжная,16500000,412500
Москва,Звёзды Арбата,Арбат,1,82.8,6,13,Смоленская,71692437,865850
Москва,Не указано,Мещанский,1,37.0,4,4,Кузнецкий мост,37400000,1010810
Москва,Малевич,Отрадное,1,27.8,7,28,Отрадное,8673600,311999
Москва,Проспект 39 ЖК,Рязанский,1,40.8,16,32,Стахановская,14263884,349605
Москва,Sydney City,Хорошево-Мневники,1,31.9,9,23,Народное Ополчение,17900000,561128
Москва,Не указано,Лосиноостровский,1,34.4,10,16,Медведково,9200000,267441
Москва,Новые Смыслы ЖК,Фрунзенская,1,37.5,9,30,Потапово,9562500,255000
Москва,Остров,Хорошево-Мневники,1,50.8,7,13,Терехово ,30000000,590551
Москва,Родные кварталы ЖК,Фрунзенская,1,34.1,7,9,Толстопальцево,6705550,196643
Москва,1-й Измайловский,Гольяново,1,40.7,2,12,Щёлковская,13952164,342805
Москва,Не указано,Северный,1,31.3,3,3,Физтех,11800000,376996
Москва,Сберсити ЖК,Фрунзенская,1,49.1,1,7,Серебряный Бор,19531980,397799
Москва,ÁLIA,Покровское-Стрешнево,1,34.8,2,18,Тушинская,15834000,455000
Москва,Не указано,Соколиная гора,1,41.0,2,12,Семёновская,11700000,285365
Москва,Не указано,Савеловский,1,31.0,9,9,Петровский Парк,13500000,435483
Москва,Прокшино ЖК,Фрунзенская,1,33.0,2,13,Прокшино,10088067,305699
Москва,iLove,Останкинский,1,42.9,4,33,Алексеевская,23600000,550116
Москва,Резиденция Сокольники,Сокольники,1,47.5,7,21,Рижская,19999000,421031
Москва,Дзен-кварталы ЖК,Фрунзенская,1,34.0,2,24,Новомосковская,8928743,262610
Москва,KAZAKOV Grand Loft,Басманный,1,42.1,4,4,Курская,18000000,427553
Москва,Не указано,Теплый Стан,1,34.2,13,16,Тёплый Стан,9300000,271929
Москва,Дом на Зорге,Сокол,1,37.5,2,16,Октябрьское поле,20328519,542093
Москва,Новая Звезда,Фрунзенская,1,37.6,13,17,Бачуринская,11000000,292553
Москва,Не указано,Сокол,1,34.0,14,14,Сокол,9150000,269117
Москва,Переделкино Ближнее Город-парк,Фрунзенская,1,33.4,4,17,Мичуринец,9544436,285761
Москва,Меркурий Тауэр,Пресненский,1,123.0,51,75,Деловой центр,85000000,691056
Москва,Не указано,Восточное Измайлово,1,29.8,5,5,Первомайская,9150000,307046
Москва,Voice Towers,Текстильщики,1,35.8,2,33,Новохохловская,12404700,346500
Москва,Nametkin Tower,Черемушки,1,30.1,9,29,Новые Черёмушки,11750000,390365
Москва,Не указано,Свиблово,1,37.6,3,17,Свиблово,12999999,345744
Москва,Бунинские Кварталы ЖК,Фрунзенская,1,34.5,4,19,Улица Горчакова,7739523,224334
Москва,Не указано,Левобережный,1,27.0,16,17,Беломорская,13000000,481481
Москва,Бунинские Кварталы ЖК,Фрунзенская,1,37.5,6,19,Бунинская аллея,8500000,226666
Москва,Скай Гарден ЖК,Покровское-Стрешнево,1,33.4,22,44,Трикотажная,14884643,445647
Москва,ЗИЛАРТ,Даниловский,1,42.4,9,16,ЗИЛ,18500000,436320
Москва,Не указано,Басманный,1,20.5,2,4,Бауманская,10000000,487804
Москва,Новое Летово ЖК,Фрунзенская,1,39.0,2,7,Филатов Луг,11571300,296700
Москва,Не указано,Люблино,1,36.5,9,9,Братиславская,9215000,252465
Москва,Не указано,Фрунзенская,1,36.0,2,10,Филатов Луг,9870000,274166
Москва,Комплекс апартаментов LES,Ясенево,1,108.0,13,14,Тёплый Стан,27594000,255500
Москва,Событие,Раменки,1,48.9,13,20,Аминьевская,26500000,541922
Москва,Не указано,Марьино,1,38.7,2,14,Марьино,10999999,284237
Москва,Апарт-отель Сигма Силино,Силино,1,38.94,6,14,Зеленоград — Крюково,11590894,297660
Москва,Остров,Хорошево-Мневники,1,44.5,8,21,Мнёвники,22100000,496629
Москва,Не указано,Южное Медведково,1,35.0,3,12,Свиблово,10890000,311142
Москва,Скандинавия ЖК,Фрунзенская,1,33.4,11,13,Бунинская аллея,8906567,266663
Москва,Не указано,Мещанский,1,40.0,4,4,Кузнецкий мост,38500000,962500
Москва,Level Нижегородская,Нижегородский,1,41.3,14,45,Нижегородская,12800000,309927
Москва,Деснаречье ЖК,Фрунзенская,1,33.3,13,15,Ольховая,8977547,269596
Москва,Slava,Беговой,1,45.7,6,10,Белорусская,39490000,864113
Москва,Не указано,Южное Тушино,1,30.9,4,5,Сходненская,9900000,320388
Москва,Южные сады,Южное Бутово,1,30.3,9,30,Бунинская аллея,10492118,346274
Москва,Остров,Хорошево-Мневники,1,41.1,14,23,Терехово ,20800000,506082
Москва,Береговой,Филевский парк,1,40.0,5,8,Фили,24600000,615000
Москва,Событие,Раменки,1,47.0,7,33,Аминьевская,26500000,563829
Москва,Новые Академики ЖК,Котловка,1,42.57,22,35,Профсоюзная,25389173,596409
Москва,Не указано,Соколиная гора,1,63.0,9,17,Измайлово,26700000,423809
Москва,Дом 7 Даниловский,Даниловский,1,48.2,4,15,Тульская,41471280,860399
Москва,Виноградный,Измайлово,1,54.3,2,18,Измайловская,31000000,570902
Москва,Клубный Город на Реке Примавера ЖК,Покровское-Стрешнево,1,51.1,2,22,Спартак,30092790,588899
Москва,Republic,Пресненский,1,39.08,3,26,Белорусская,31000000,793244
Москва,SOUL,Аэропорт,1,41.8,22,29,Сокол,22977460,549700
Москва,Событие,Раменки,1,47.6,2,18,Аминьевская,33000000,693277
Москва,Монблан,Замоскворечье,1,61.3,6,27,Павелецкая,46036300,751000
Москва,Элитный квартал Тишинский бульвар,Пресненский,1,60.3,2,14,Белорусская,77240000,1280928
Москва,Дом 7 Даниловский,Даниловский,1,39.8,5,15,Тульская,35099620,881900
Москва,Клубный Город на Реке Примавера ЖК,Покровское-Стрешнево,1,49.2,11,19,Спартак,30312120,616099
Москва,Дом Горизонтов,Крылатское,1,46.66,5,27,Молодёжная,32801000,702978
Москва,Монблан,Замоскворечье,1,61.8,8,27,Павелецкая,48574800,786000
Москва,Михалковский,Головинский,1,38.2,17,20,Коптево,16697220,437099
Москва,Не указано,Басманный,1,20.9,1,3,Электрозаводская,6895000,329904
Москва,Монблан,Замоскворечье,1,57.1,5,12,Павелецкая,42368200,741999
Москва,Не указано,Южнопортовый,1,24.5,1,7,Кожуховская,6900000,281632
Москва,Эдельвейс,Фрунзенская,1,42.5,6,9,Крёкшино,6500000,152941
Москва,Кутузовский Квартал ЖК,Кунцево,1,36.84,14,44,Кунцевская,16179575,439184
Москва,Не указано,Северное Медведково,1,37.0,3,14,Медведково,12325000,333108
Москва,Симфония 34 ЖК,Савеловский,1,37.13,3,36,Дмитровская,24254244,653224
Москва,Кленовые Аллеи,Фрунзенская,1,32.1,7,13,Кедровая,8300000,258566
